address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
대구 북구 대현동 119-10,FD6,음식점,"음식점 > 한식 > 육류,고기 > 삼겹살",291,1958081968,"",따띠삼겹 대구경북대점,http://place.map.kakao.com/1958081968,대구 북구 경대로7길 38,128.60987138594223,35.88577986746598
대구 북구 대현동 119-9,FD6,음식점,음식점 > 패스트푸드 > 맘스터치,300,26499635,053-955-4242,맘스터치 대구대현점,http://place.map.kakao.com/26499635,대구 북구 경대로7길 36,128.6101313992582,35.885769172243826
대구 북구 대현동 119-43,FD6,음식점,"음식점 > 한식 > 육류,고기 > 닭요리",303,2074291341,070-7629-0102,뽀근닥 경북대점,http://place.map.kakao.com/2074291341,대구 북구 경대로7길 34,128.6102500189,35.8857756919192
대구 북구 대현동 119-43,FD6,음식점,음식점 > 분식,303,21367635,053-943-5612,쪽문분식,http://place.map.kakao.com/21367635,대구 북구 경대로7길 34,128.6102500189,35.8857756919192
대구 북구 대현동 119-41,FD6,음식점,음식점 > 술집,309,22581270,053-268-8686,컨테이너치치스,http://place.map.kakao.com/22581270,대구 북구 경대로7길 39,128.609665469597,35.88556365116
대구 북구 대현동 119-41,FD6,음식점,"음식점 > 일식 > 초밥,롤",309,2048713648,"",스시카츠,http://place.map.kakao.com/2048713648,대구 북구 경대로7길 39,128.609665487832,35.8855645520543
대구 북구 대현동 119-44,FD6,음식점,음식점 > 술집 > 실내포장마차,309,328391208,"",미운놈포차,http://place.map.kakao.com/328391208,대구 북구 경대로7길 32,128.610380542564,35.8857685347579
대구 북구 대현동 119-41,FD6,음식점,음식점 > 한식 > 주먹밥 > 봉구스밥버거,310,20932374,053-939-0982,봉구스밥버거 경북대대현점,http://place.map.kakao.com/20932374,대구 북구 경대로7길 39,128.609669751943,35.8855563846466
대구 북구 대현동 25-22,FD6,음식점,음식점 > 양식 > 피자 > 피자스톰,310,1613067430,053-955-1828,피자스톰 경북대점,http://place.map.kakao.com/1613067430,대구 북구 경대로7길 53,128.608437245533,35.8855008085117
대구 북구 대현동 25-22,FD6,음식점,음식점 > 양식 > 이탈리안,313,1819765752,"",명작파스타 경북대점,http://place.map.kakao.com/1819765752,대구 북구 경대로7길 53,128.608447733012,35.8854718315917
대구 북구 대현동 119-44,FD6,음식점,음식점 > 한식 > 순대,313,2064404591,053-958-5351,통큰할매순대국 대현점,http://place.map.kakao.com/2064404591,대구 북구 경대로7길 32,128.610390919895,35.8857341523229
